Nom du port,Nom du Navire,Voyage,Voyage local,Service,ETA,ETD,Terminal,Date limite de livraison au port,Date limite Remise doc,Import
"sfax",FAS DAMMAM,1RSC3N1MA,,MALTA TS E,28/02/2020 03:00,01/03/2020 17:00,O.M.M.P. SFAX,26/02/2020 15:00,--,Hydrocarbures:1263/varac liquide:2758 /varac solide:9244
"sfax",NAF TS SFAX,2VZ1QN1MA,,MALTA TS B,06/03/2020 03:00,07/03/2020 04:00,O.M.M.P. SFAX,04/03/2020 15:00,--,cereales:12225/conteneurs nombre EVP:300
"sfax",WILHELMINE,0WE0AN1MA,,Westmed Service,25/02/2020 19:00,28/02/2020 19:00,O.M.M.P. SFAX,24/02/2020 07:00,--,conteneurs tonnage:670/conteneurs nombre EVP:505
"sfax",NAF TS SFAX,2VZ0GN1MA,,MALTA TS B,28/02/2020 03:00,29/02/2020 04:00,O.M.M.P. SFAX,26/02/2020 15:00,--,cereales:5400/Hydrocarbures:5163
"sfax",FAS DAMMAM,1RSC3N1MA,,MALTA TS E,28/02/2020 09:00,01/03/2020 22:00,O.M.M.P. SFAX,26/02/2020 21:00,--,varac liquide:1058 /varac solide:5040
"sfax",FAS DAMMAM,1RSCDS1MA,,MALTA TS E,04/03/2020 06:00,06/03/2020 18:00,O.M.M.P. SFAX,02/03/2020 18:00,--,varac solide:3040/cereales:7400
"sfax",NAF TS SFAX,2VZ1QN1MA,,MALTA TS B,06/03/2020 03:00,07/03/2020 04:00,O.M.M.P. SFAX,04/03/2020 15:00,--,cereales:6860/conteneurs tonnage:390
"sfax",NAF TS SFAX,2VZ0GN1MA,,MALTA TS B,28/02/2020 03:00,29/02/2020 04:00,O.M.M.P. SFAX,26/02/2020 15:00,--,varac solide:5120/
"sfax",FAS DAMMAM,1RSC3N1MA,,MALTA TS E,28/02/2020 04:00,01/03/2020 17:00,O.M.M.P. SFAX,26/02/2020 16:00,--,cereales:2860/
"sfax",NAF TS SFAX,2VZ1QN1MA,,MALTA TS B,06/03/2020 03:00,07/03/2020 04:00,O.M.M.P. SFAX,04/03/2020 15:00,--,varac solide:2500/conteneurs tonnage:750
"sfax",NAF TS SFAX,2VZ1QN1MA,,MALTA TS B,06/03/2020 03:00,07/03/2020 04:00,O.M.M.P. SFAX,04/03/2020 15:00,--,conteneurs nombre EVP:290
"sfax",JANINA,1RSD1N1MA,,MALTA TS E,08/03/2020 21:00,11/03/2020 10:00,O.M.M.P. SFAX,07/03/2020 09:00,--,varac liquide:3058/conteneurs tonnage:350
"sfax",NAF TS SFAX,2VZ1SN1MA,,MALTA TS B,13/03/2020 03:00,14/03/2020 04:00,O.M.M.P. SFAX,11/03/2020 15:00,--,cereales:8830/conteneurs nombre EVP:250
"sfax",CONTSHIP CUB,0TK1PN1MA,,Tyrrhenian Express 2,14/03/2020 10:30,17/03/2020 10:30,O.M.M.P. SFAX,12/03/2020 22:30,--,conteneurs nombre EVP:300
"sfax",JANINA,1RSD1N1MA,,MALTA TS E,08/03/2020 21:00,11/03/2020 10:00,O.M.M.P. SFAX,07/03/2020 09:00,--,varac solide:5066/varac liquide:702
"sfax",NAF TS SFAX,2VZ1SN1MA,,MALTA TS B,13/03/2020 03:00,14/03/2020 04:00,O.M.M.P. SFAX,11/03/2020 15:00,--,conteneurs nombre EVP:780/cereales:9225
"sfax",CONTSHIP CUB,0TK1PN1MA,,Tyrrhenian Express 2,14/03/2020 10:30,17/03/2020 10:30,O.M.M.P. SFAX,12/03/2020 22:30,--,varac solide:1055/Hydrocarbures:7036
"sfax",NAF TS SFAX,2VZ1QN1MA,,MALTA TS B,06/03/2020 03:00,07/03/2020 04:00,O.M.M.P. SFAX,04/03/2020 15:00,--,conteneurs tonnage:6025/cereales:12225
"sfax",NICOLA,0TK1NN1MA,,Tyrrhenian Express 2,08/03/2020 00:00,11/03/2020 00:00,O.M.M.P. SFAX,06/03/2020 12:00,--,cereales:13450/varac liquide:548
